name,station,time,id,mean(air_temperature P1D)
Ålesund Iv,SN60945,21.01.2020,0,"5,2"
Ålesund Iv,SN60945,22.01.2020,1,5
Ålesund Iv,SN60945,23.01.2020,2,"7,9"
Ålesund Iv,SN60945,24.01.2020,3,"4,4"
Ålesund Iv,SN60945,25.01.2020,4,"6,7"
Ålesund Iv,SN60945,26.01.2020,5,"9,1"
Ålesund Iv,SN60945,27.01.2020,6,"4,9"
Ålesund Iv,SN60945,28.01.2020,7,"3,6"
Ålesund Iv,SN60945,29.01.2020,8,"2,7"
Ålesund Iv,SN60945,30.01.2020,9,"2,6"
Ålesund Iv,SN60945,31.01.2020,10,"5,8"
Ålesund Iv,SN60945,01.02.2020,11,"2,2"
Ålesund Iv,SN60945,02.02.2020,12,"2,9"
Ålesund Iv,SN60945,03.02.2020,13,"0,6"
Ålesund Iv,SN60945,04.02.2020,14,"1,5"
Ålesund Iv,SN60945,05.02.2020,15,"6,2"
Ålesund Iv,SN60945,06.02.2020,16,"8,3"
Ålesund Iv,SN60945,07.02.2020,17,"5,7"
Ålesund Iv,SN60945,08.02.2020,18,"6,4"
Ålesund Iv,SN60945,09.02.2020,19,"5,6"
Ålesund Iv,SN60945,10.02.2020,20,"4,4"
Ålesund Iv,SN60945,11.02.2020,21,"3,1"
Ålesund Iv,SN60945,12.02.2020,22,"2,2"
Ålesund Iv,SN60945,13.02.2020,23,"2,2"
Ålesund Iv,SN60945,14.02.2020,24,"2,6"
Ålesund Iv,SN60945,15.02.2020,25,7
Ålesund Iv,SN60945,16.02.2020,26,"6,5"
Ålesund Iv,SN60945,17.02.2020,27,"6,3"
Ålesund Iv,SN60945,18.02.2020,28,"5,1"
Ålesund Iv,SN60945,19.02.2020,29,4
"Data er gyldig per 20.02.2020 (CC BY 4.0), Meteorologisk institutt (MET)",,,,
